產品線,子產品/平台,網頁/工具,檔案,對應公開URL或路由,公開crawl狀態,資料來源URL,官方來源數,法源/引用筆數,待補常數來源筆數,待修正引用筆數,查證狀態,備註
民眾版,民法財產權／繼承贈與計算平台,贍養費試算｜InheritancePro,/Users/chouchunyeh/Desktop/choulegal/apps/inheritancepro/alimony.html,https://inheritance.choulegal.com/alimony.html,200,https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=B0000001&flno=1057; https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=B0000001&flno=1116-2; https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=B0000001&flno=125; https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=B0000001&flno=126,4,34,4,0,待確認,法律常數/金額/比例有 4 筆尚待補官方來源。
民眾版,民法財產權／繼承贈與計算平台,中華民國遺產計算器｜InheritancePro,/Users/chouchunyeh/Desktop/choulegal/apps/inheritancepro/calculator.html,https://inheritance.choulegal.com/calculator.html,200,https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=B0000001&flno=1030-1; https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=B0000001&flno=1138; https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=B0000001&flno=1144; https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=B0000001&flno=1149; https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=B0000001&flno=15; https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=B0000001&flno=16-11; https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=B0000001&flno=16-12; https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=B0000001&flno=16-13; https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=B0000001&flno=16-4; https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=B0000001&flno=16-5; https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=B0000001&flno=16-6; https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=B0000001&flno=16-7; https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=B0000001&flno=16-8; https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=B0000001&flno=17-1; https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=G0340072&flno=10; https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=G0340072&flno=15; https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=G0340072&flno=16; https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=G0340072&flno=16-1; https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=G0340072&flno=17; https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=G0340072&flno=17-1; https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=G0340096&flno=28-1; https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=G0340102&flno=4; https://www.mof.gov.tw/singlehtml/384fb3077bb349ea973e7fc6f13b6974?cntId=f2a148bdd1614850be9fa56df8cc9d5c,23,78,2,10,待確認,前次公開 crawl 發現 10 筆錯誤引用；程式碼已修正者仍需重新線上 crawl 複查。
民眾版,民法財產權／繼承贈與計算平台,照顧者繼承特別貢獻試算｜InheritancePro,/Users/chouchunyeh/Desktop/choulegal/apps/inheritancepro/caregiver.html,https://inheritance.choulegal.com/caregiver.html,200,https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=B0000001&flno=1132; https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=B0000001&flno=1137; https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=B0000001&flno=1146; https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=B0000001&flno=1149; https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=B0000001&flno=1173,5,68,2,0,待確認,法律常數/金額/比例有 2 筆尚待補官方來源。
民眾版,民法財產權／繼承贈與計算平台,離婚損害賠償精算｜侵害配偶權求償｜InheritancePro,/Users/chouchunyeh/Desktop/choulegal/apps/inheritancepro/divorce-damages.html,https://inheritance.choulegal.com/divorce-damages.html,200,https://cons.judicial.gov.tw/docdata.aspx?fid=100&id=310972; https://cons.judicial.gov.tw/docdata.aspx?fid=38&id=310013; https://judgment.judicial.gov.tw/FJUD/data.aspx?ty=JD&id=TPSV%2c55%2c%e5%8f%b0%e4%b8%8a%2c2053%2c19660811%2c1&ot=in; https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=B0000001&flno=1; https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=B0000001&flno=1052; https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=B0000001&flno=1056; https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=B0000001&flno=1057; https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=B0000001&flno=184; https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=B0000001&flno=185; https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=B0000001&flno=195; https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=B0000001&flno=197; https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=C0000001&flno=1056; https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=C0000001&flno=195; https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=C0000001&flno=197; https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=C0000001&flno=239,15,124,2,0,待確認,法律常數/金額/比例有 2 筆尚待補官方來源。
民眾版,民法財產權／繼承贈與計算平台,贈與稅試算｜InheritancePro,/Users/chouchunyeh/Desktop/choulegal/apps/inheritancepro/gift-tax.html,https://inheritance.choulegal.com/gift-tax.html,200,https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=B0000001&flno=1138; https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=B0000001&flno=1140; https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=B0000001&flno=20-1; https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=B0000001&flno=44; https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=B0000001&flno=5; https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=B0000001&flno=5-1; https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=G0340072&flno=15; https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=G0340072&flno=19; https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=G0340072&flno=20; https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=G0340072&flno=22; https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=G0340072&flno=24; https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=G0340072&flno=5; https://www.mof.gov.tw/singlehtml/384fb3077bb349ea973e7fc6f13b6974?cntId=e4170c62974c4c7c9fa78c24c9fcb130; https://www.mof.gov.tw/singlehtml/384fb3077bb349ea973e7fc6f13b6974?cntId=f2a148bdd1614850be9fa56df8cc9d5c,14,104,14,0,待確認,法律常數/金額/比例有 14 筆尚待補官方來源。
民眾版,民法財產權／繼承贈與計算平台,繼承流程時間軸｜InheritancePro,/Users/chouchunyeh/Desktop/choulegal/apps/inheritancepro/inheritance-timeline.html,https://inheritance.choulegal.com/inheritance-timeline.html,200,https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=B0000001&flno=1146; https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=B0000001&flno=1156; https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=B0000001&flno=1162-2; https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=B0000001&flno=1164; https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=B0000001&flno=1174; https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=B0000001&flno=15; https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=B0000001&flno=197; https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=B0000001&flno=44; https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=B0000001&flno=45; https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=B0000001&flno=46; https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=D0030006&flno=48; https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=D0060001&flno=26; https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=D0060001&flno=73; https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=G0340003&flno=71; https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=G0340072&flno=15; https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=G0340072&flno=16; https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=G0340072&flno=23; https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=G0390002&flno=112; https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=G0390002&flno=65; https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=L0060001&flno=18; https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=N0050001&flno=65-1,21,64,2,0,待確認,法律常數/金額/比例有 2 筆尚待補官方來源。
民眾版,民法財產權／繼承贈與計算平台,繼承房貸陷阱試算｜賣屋前一定要知道的 146 萬｜InheritancePro,/Users/chouchunyeh/Desktop/choulegal/apps/inheritancepro/inherited-property-trap.html,https://inheritance.choulegal.com/inherited-property-trap.html,200,https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=G0340003&flno=14-4; https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=G0340003&flno=4-4; https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=G0340003&flno=4-5,3,82,32,0,待確認,法律常數/金額/比例有 32 筆尚待補官方來源。
民眾版,民法財產權／繼承贈與計算平台,意外事故保險金合計試算｜InheritancePro,/Users/chouchunyeh/Desktop/choulegal/apps/inheritancepro/insurance-accident-combined.html,https://inheritance.choulegal.com/insurance-accident-combined.html,200,https://cons.judicial.gov.tw/docdata.aspx?fid=100&id=310757; https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=B0000001&flno=103; https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=B0000001&flno=184; https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=B0000001&flno=192; https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=B0000001&flno=194; https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=B0000001&flno=3; https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=B0000001&flno=32; https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=B0000001&flno=35; https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=B0000001&flno=38; https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=B0000001&flno=40; https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=B0000001&flno=54; https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=B0000001&flno=6; https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=B0000001&flno=64; https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=B0000001&flno=65; https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=G0340072&flno=16; https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=G0340072&flno=17; https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=G0390002&flno=107; https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=G0390002&flno=112; https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=G0390002&flno=13; https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=G0390002&flno=131; https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=G0390002&flno=34; https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=G0390002&flno=35; https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=G0390060&flno=27; https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=G0390060&flno=7; https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=G0390067&flno=2; https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=N0050001&flno=34,26,64,6,0,待確認,法律常數/金額/比例有 6 筆尚待補官方來源。
民眾版,民法財產權／繼承贈與計算平台,保單受益人順位分配試算｜InheritancePro,/Users/chouchunyeh/Desktop/choulegal/apps/inheritancepro/insurance-beneficiary-order.html,https://inheritance.choulegal.com/insurance-beneficiary-order.html,200,https://judgment.judicial.gov.tw/FJUD/data.aspx?ty=JD&id=TPSV%2c107%2c%e5%8f%b0%e4%b8%8a%2c1395%2c20190718%2c1&ot=in; https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=B0000001&flno=112; https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=B0000001&flno=113; https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=B0000001&flno=1138; https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=B0000001&flno=1144; https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=B0000001&flno=1223; https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=G0340072&flno=16; https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=G0390002&flno=110; https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=G0390002&flno=112; https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=G0390002&flno=113,10,52,2,0,待確認,法律常數/金額/比例有 2 筆尚待補官方來源。
民眾版,民法財產權／繼承贈與計算平台,壽險保單稅務風險評估｜AMT + 遺產稅 + 特留分｜InheritancePro,/Users/chouchunyeh/Desktop/choulegal/apps/inheritancepro/insurance-estate-risk.html,https://inheritance.choulegal.com/insurance-estate-risk.html,200,https://cons.judicial.gov.tw/docdata.aspx?fid=100&id=310601; https://judgment.judicial.gov.tw/FJUD/data.aspx?ty=JD&id=TPSV%2c107%2c%e5%8f%b0%e4%b8%8a%2c1395%2c20190718%2c1&ot=in; https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=B0000001&flno=1146; https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=B0000001&flno=1173; https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=B0000001&flno=1187; https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=B0000001&flno=1225; https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=B0000001&flno=14; https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=B0000001&flno=4; https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=G0340001&flno=12-1; https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=G0340001&flno=21; https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=G0340001&flno=35; https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=G0340003&flno=12; https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=G0340003&flno=12-1; https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=G0340072&flno=13; https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=G0340072&flno=16; https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=G0340115&flno=12; https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=G0390002&flno=112,17,106,16,0,待確認,法律常數/金額/比例有 16 筆尚待補官方來源。
