產品線,子產品/平台,網頁/工具,檔案,對應公開URL或路由,公開crawl狀態,資料來源URL,官方來源數,法源/引用筆數,待補常數來源筆數,待修正引用筆數,查證狀態,備註
民眾版,民法財產權／繼承贈與計算平台,中華民國遺產計算器｜InheritancePro,/Users/chouchunyeh/Desktop/choulegal/apps/inheritancepro/calculator.html,https://inheritance.choulegal.com/calculator.html,200,https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=B0000001&flno=1030-1; https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=B0000001&flno=1138; https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=B0000001&flno=1144; https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=B0000001&flno=1149; https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=B0000001&flno=15; https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=B0000001&flno=16-11; https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=B0000001&flno=16-12; https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=B0000001&flno=16-13; https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=B0000001&flno=16-4; https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=B0000001&flno=16-5; https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=B0000001&flno=16-6; https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=B0000001&flno=16-7; https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=B0000001&flno=16-8; https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=B0000001&flno=17-1; https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=G0340072&flno=10; https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=G0340072&flno=15; https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=G0340072&flno=16; https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=G0340072&flno=16-1; https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=G0340072&flno=17; https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=G0340072&flno=17-1; https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=G0340096&flno=28-1; https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=G0340102&flno=4; https://www.mof.gov.tw/singlehtml/384fb3077bb349ea973e7fc6f13b6974?cntId=f2a148bdd1614850be9fa56df8cc9d5c,23,78,2,10,待確認,前次公開 crawl 發現 10 筆錯誤引用；程式碼已修正者仍需重新線上 crawl 複查。
民眾版,民法財產權／繼承贈與計算平台,保單要保人變更贈與稅計算器｜InheritancePro,/Users/chouchunyeh/Desktop/choulegal/apps/inheritancepro/insurance-gift-tax.html,https://inheritance.choulegal.com/insurance-gift-tax.html,200,https://judgment.judicial.gov.tw/FJUD/data.aspx?ty=JD&id=TPAA%2c100%2c%e5%88%a4%2c574%2c20110421%2c1&ot=in; https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=B0000001&flno=12-1; https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=B0000001&flno=24; https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=B0000001&flno=44; https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=B0000001&flno=5-1; https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=G0340001&flno=41; https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=G0340072&flno=16; https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=G0340072&flno=16-9; https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=G0340072&flno=19; https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=G0340072&flno=20; https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=G0340072&flno=22; https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=G0340072&flno=4; https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=G0340072&flno=5-1; https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=G0390002&flno=111; https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=G0390002&flno=112; https://www.mof.gov.tw/singlehtml/384fb3077bb349ea973e7fc6f13b6974?cntId=e4170c62974c4c7c9fa78c24c9fcb130,16,104,10,2,待確認,前次公開 crawl 發現 2 筆錯誤引用；程式碼已修正者仍需重新線上 crawl 複查。
民眾版,勞動權益計算平台,退休金請領計算機｜LaborPro,/Users/chouchunyeh/Desktop/choulegal/apps/laborpro/pension-claim.html,https://labor.choulegal.com/pension-claim.html,200,https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=N0030001&flno=14; https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=N0030001&flno=24-2; https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=N0030001&flno=53; https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=N0030001&flno=54; https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=N0030001&flno=55; https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=N0030001&flno=56; https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=N0030001&flno=59; https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=N0030020&flno=14; https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=N0030020&flno=23; https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=N0030020&flno=24; https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=N0030020&flno=31; https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=N0030020&flno=49; https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=N0030020&flno=50; https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=N0030020&flno=53; https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=N0030020&flno=54; https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=N0030020&flno=55; https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=N0030020&flno=78; https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=N0030020&flno=79; https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=N0030020&flno=9; https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=N0050001&flno=58; https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=N0050001&flno=58-1; https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=N0050001&flno=59,22,136,16,2,待確認,前次公開 crawl 發現 2 筆錯誤引用；程式碼已修正者仍需重新線上 crawl 複查。
民眾版,勞動權益計算平台,解僱成本估算機｜LaborPro,/Users/chouchunyeh/Desktop/choulegal/apps/laborpro/termination-cost.html,https://labor.choulegal.com/termination-cost.html,200,https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=B0000001&flno=11; https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=B0000001&flno=12; https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=B0000001&flno=13; https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=B0000001&flno=14; https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=B0000001&flno=20; https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=B0000001&flno=487; https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=N0030001&flno=11; https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=N0030001&flno=11-1; https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=N0030001&flno=11-2; https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=N0030001&flno=11-3; https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=N0030001&flno=11-4; https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=N0030001&flno=11-5; https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=N0030001&flno=12; https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=N0030001&flno=13; https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=N0030001&flno=14; https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=N0030001&flno=16; https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=N0030001&flno=17; https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=N0030001&flno=19; https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=N0030001&flno=2; https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=N0030001&flno=20; https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=N0030001&flno=33; https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=N0030001&flno=38; https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=N0030001&flno=4; https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=N0030001&flno=68; https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=N0030001&flno=78; https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=N0030001&flno=79; https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=N0030020&flno=12,27,110,0,10,待確認,前次公開 crawl 發現 10 筆錯誤引用；程式碼已修正者仍需重新線上 crawl 複查。
民眾版,勞動權益計算平台,職災補償試算｜LaborPro,/Users/chouchunyeh/Desktop/choulegal/apps/laborpro/work-injury.html,https://labor.choulegal.com/work-injury.html,200,https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=B0000001&flno=184; https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=B0000001&flno=59; https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=B0000001&flno=59-4; https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=B0000001&flno=60; https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=N0030001&flno=13; https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=N0030001&flno=193; https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=N0030001&flno=195; https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=N0030001&flno=2; https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=N0030001&flno=2-4; https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=N0030001&flno=483-1; https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=N0030001&flno=5; https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=N0030001&flno=59; https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=N0030001&flno=59-1; https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=N0030001&flno=59-2; https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=N0030001&flno=59-3; https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=N0030001&flno=59-4; https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=N0030001&flno=60,17,148,14,36,待確認,前次公開 crawl 發現 36 筆錯誤引用；程式碼已修正者仍需重新線上 crawl 複查。
